time (s),P(t),P_std
0.0,1.0,0.0
1e-08,0.9922698352276789,8.666379406529416e-17
2e-08,0.9698134171038106,8.506076425164523e-17
3.0000000000000004e-08,0.9336546609845694,8.246100082453038e-17
4e-08,0.885536837990043,8.011062448899506e-17
5e-08,0.8274852418608126,7.853078678191872e-17
6.000000000000001e-08,0.761773208730119,8.036665142642833e-17
7e-08,0.6909433567345925,8.102853556461275e-17
8e-08,0.6172652948912719,8.080003540106574e-17
9e-08,0.5433507224438816,8.077460659307139e-17
1e-07,0.4709770364416059,7.705193081226271e-17
1.1e-07,0.40193499300922453,7.83998802285249e-17
1.2000000000000002e-07,0.3373783951884858,7.784766893323461e-17
1.3e-07,0.2781119985129702,7.811111357431005e-17
1.4e-07,0.22484542421173911,7.941522896283854e-17
1.5e-07,0.1781258299982067,7.691850745534256e-17
1.6e-07,0.13820561945061446,8.016189529391645e-17
1.7000000000000001e-07,0.1046111335988135,7.889616961715914e-17
1.8e-07,0.07699399685230458,7.803217357074378e-17
1.9e-07,0.05459058704538884,7.847845036372169e-17
2e-07,0.03740160841004439,8.013626399180835e-17
2.1e-07,0.02539923462079375,7.803217357074378e-17
2.2e-07,0.01940546843470228,8.123110721964783e-17
2.3e-07,0.0197261147566897,8.148361360181679e-17
2.4000000000000003e-07,0.023054893491486445,8.039220927456254e-17
2.5e-07,0.027208663339611822,7.811111357431005e-17
2.6e-07,0.030103371225826625,8.095244050738454e-17
2.7e-07,0.03241530175088565,7.792679584060017e-17
2.8e-07,0.03363214960927433,8.231138896711101e-17
2.9000000000000003e-07,0.03372843626266866,7.86614754840469e-17
3e-07,0.033355386633453665,8.110455922690037e-17
3.1e-07,0.0331189061466746,7.805849577542928e-17
3.2e-07,0.03268851330586125,7.771561172376095e-17
3.3e-07,0.032018993043920765,7.768917334513442e-17
3.4000000000000003e-07,0.031005981176363023,7.782127541868275e-17
3.5e-07,0.029899527376152084,7.811111357431005e-17
3.6e-07,0.028455690840344865,8.003365669749631e-17
3.7e-07,0.026406571823443154,8.00849767776001e-17
3.8e-07,0.023816622672584917,8.074916977726412e-17
3.9e-07,0.020606511713859608,7.646312660257325e-17
4e-07,0.017530879317440646,8.168505671170456e-17
4.1e-07,0.01474058927231405,7.959610006185134e-17
4.2e-07,0.012353971109214405,7.753035374459599e-17
4.3e-07,0.01082050302769393,8.067281120720505e-17
4.4e-07,0.009974275728731207,7.68650732651803e-17
4.5000000000000003e-07,0.009740779222756719,8.077460659307139e-17
4.6e-07,0.01031444721562443,7.605905581599573e-17
4.7e-07,0.010715201271040694,8.123110721964783e-17
4.800000000000001e-07,0.01106605684062481,7.832123127353765e-17
4.9e-07,0.011100562626638558,7.83998802285249e-17
5e-07,0.01113770675209212,7.902625407419788e-17
5.1e-07,0.010952664552697944,7.847845036372169e-17
5.2e-07,0.010821644044850339,7.879194741893008e-17
5.3e-07,0.010841859318405665,8.097781347165198e-17
5.4e-07,0.011037093620136107,7.876587032160195e-17
5.5e-07,0.011948403659238686,7.570711667007544e-17
5.6e-07,0.01268784370057253,7.67313249939124e-17
5.7e-07,0.01314359114582646,8.021313332746002e-17
5.800000000000001e-07,0.013684520006227314,8.023874007458557e-17
5.9e-07,0.01398805246913576,7.595094054341032e-17
6e-07,0.01402252446523403,7.884407573916694e-17
6.1e-07,0.014090416199343545,7.86614754840469e-17
6.2e-07,0.014315397719295355,7.718512353192064e-17
6.3e-07,0.01454045625730855,7.678485225887628e-17
6.4e-07,0.014805568445021898,8.041775900006842e-17
6.5e-07,0.015343505056495408,8.000798431297135e-17
6.6e-07,0.015465158317766594,8.011062448899506e-17
6.7e-07,0.015250003091949639,8.110455922690037e-17
6.800000000000001e-07,0.01487021264532797,7.977656108715413e-17
6.900000000000001e-07,0.01386282887909432,8.011062448899506e-17
7e-07,0.012514587339452309,7.873978458804285e-17
7.1e-07,0.011586126743918018,7.657051868724182e-17
7.2e-07,0.010736610318726912,8.092705958796235e-17
7.3e-07,0.009774433554330362,7.734465203183738e-17
7.4e-07,0.00927800509639231,7.855694191562709e-17
7.5e-07,0.009197997841087713,7.860922607576835e-17
7.6e-07,0.009560046618245678,8.057088721046358e-17
7.7e-07,0.010152801301846093,7.879194741893008e-17
7.8e-07,0.010826406904603491,7.657051868724182e-17
7.900000000000001e-07,0.011594522636883554,7.768917334513442e-17
8e-07,0.012308246250695418,8.085086902383629e-17
8.1e-07,0.01319306932161504,7.894822912108668e-17
8.2e-07,0.014350881170866598,7.858308834401479e-17
8.3e-07,0.015405247268743167,7.78740535023478e-17
8.4e-07,0.01624923153673475,8.216150467467649e-17
8.5e-07,0.016685197646429794,7.873978458804285e-17
8.6e-07,0.01678281341201974,7.962190524977581e-17
8.7e-07,0.016515295942562725,8.011062448899506e-17
8.8e-07,0.01602243169954677,7.92339449818314e-17
8.900000000000001e-07,0.015066491126287005,7.78740535023478e-17
9.000000000000001e-07,0.01354565736401532,8.036665142642833e-17
9.1e-07,0.011494405107613749,7.83998802285249e-17
9.2e-07,0.009163162316852073,7.705193081226271e-17
9.3e-07,0.006326018263022257,8.110455922690037e-17
9.4e-07,0.003493292543494016,8.150882121683646e-17
9.5e-07,0.001756187027948803,7.78740535023478e-17
9.600000000000001e-07,0.0042480397115636495,7.915612475190917e-17
9.7e-07,0.007878620114380836,7.818997388068908e-17
9.8e-07,0.010876733586415764,7.910420206691776e-17
9.9e-07,0.013224090369185067,7.662415828659589e-17
1e-06,0.015471390798776193,8.072372494607393e-17
1.01e-06,0.01707791716961073,7.915612475190917e-17
1.02e-06,0.018084316533933626,8.263520563790825e-17
1.03e-06,0.017903374893552343,8.231138896711101e-17
1.04e-06,0.01657862532472729,7.731808680624463e-17
1.0500000000000001e-06,0.014413154502565945,8.143317496275171e-17
1.06e-06,0.011752103870138588,7.713187404401502e-17
1.07e-06,0.009429774079890135,8.005932084973443e-17
1.08e-06,0.007179385850004093,7.845226906178752e-17
1.09e-06,0.005389126600507333,8.080003540106574e-17
1.1e-06,0.0038784905820484702,7.910420206691776e-17
1.11e-06,0.0029624806742708978,7.739775512908664e-17
1.12e-06,0.003001401529746642,7.67313249939124e-17
1.13e-06,0.003947122182422953,8.08254562088053e-17
1.14e-06,0.005766090179478081,7.747734153070907e-17
1.15e-06,0.007279632972809338,7.853078678191872e-17
1.1600000000000001e-06,0.00864397981319236,7.800584248392333e-17
1.17e-06,0.009640884721789537,8.216150467467649e-17
1.18e-06,0.010709325760602502,8.041775900006842e-17
1.19e-06,0.012152850526841818,7.86614754840469e-17
1.2e-06,0.014238863116561576,7.768917334513442e-17
1.21e-06,0.0169898221382047,7.871369020966661e-17
1.22e-06,0.020016088197256258,7.731808680624463e-17
1.23e-06,0.022931991335809584,7.944109290391274e-17
1.24e-06,0.026024831633269824,7.742429301950445e-17
1.25e-06,0.029273791074569445,7.797950250597032e-17
1.26e-06,0.03249729883867609,7.616701762451289e-17
1.2700000000000001e-06,0.03536220243589361,8.372190773586405e-17
1.28e-06,0.03734744153489104,7.962190524977581e-17
1.29e-06,0.03794184142189681,7.915612475190917e-17
1.3e-06,0.03746492650473818,7.881801588859915e-17
1.31e-06,0.03653500382222562,7.959610006185134e-17
1.32e-06,0.03447428885189384,7.99566148153398e-17
1.33e-06,0.031682841578608775,7.771561172376095e-17
1.34e-06,0.028484420558952298,7.739775512908664e-17
1.35e-06,0.02502377227565816,7.797950250597032e-17
1.3600000000000001e-06,0.0208953921286692,8.05453860586267e-17
1.37e-06,0.01662767722370498,7.855694191562709e-17
1.3800000000000001e-06,0.01236003218005835,8.018751840318324e-17
1.39e-06,0.008400411774647917,7.938935659565482e-17
1.4e-06,0.005825955500969725,8.095244050738454e-17
1.41e-06,0.0058039394794313125,7.944109290391274e-17
1.42e-06,0.007786055341166138,7.905224527834553e-17
1.43e-06,0.010175636766918744,8.13069414734929e-17
1.44e-06,0.012774849901739788,7.902625407419788e-17
1.45e-06,0.015210086358597342,7.753035374459599e-17
1.46e-06,0.017789558192984667,7.739775512908664e-17
1.4700000000000001e-06,0.019967342519542342,7.803217357074378e-17
1.48e-06,0.021272362239537407,7.818997388068908e-17
1.4900000000000001e-06,0.022504474981796384,8.005932084973443e-17
1.5e-06,0.023490668244938236,7.863535511955984e-17
