time (s),B_z (T)
0.0,1.459692124301698e-05
1e-10,9.728908273192753e-06
2e-10,6.948028175004151e-06
3e-10,1.098401862657337e-05
4e-10,1.0894109995351082e-05
5e-10,1.2988869137892675e-05
6e-10,1.7198977269601025e-05
7.000000000000001e-10,1.4600418057149227e-05
8e-10,1.9352510189499846e-05
9e-10,2.1613286911902485e-05
1e-09,1.340173568168888e-05
1.1000000000000001e-09,2.260857199539384e-05
1.2e-09,1.9140852483377956e-05
1.3e-09,8.232206951118318e-06
1.4000000000000001e-09,1.3827224933255229e-06
1.5e-09,-5.243196847941728e-06
1.6e-09,-4.853158267812362e-06
1.7000000000000001e-09,-6.578290230486114e-06
1.8e-09,-8.694116931051583e-06
1.9e-09,-4.594496439526263e-06
2e-09,-2.347790017315525e-06
2.1e-09,-2.7774255237409876e-07
2.2000000000000003e-09,2.379018970635412e-06
2.3e-09,6.345358545777885e-06
2.4e-09,-7.368621571629491e-06
2.5e-09,-9.655359197605265e-06
2.6e-09,-2.3678055031161027e-05
2.7e-09,-2.3208934861848414e-05
2.8000000000000003e-09,-2.3008004651345875e-05
2.9e-09,-1.600833466266854e-05
3e-09,-8.158076974305435e-06
3.1e-09,-6.763756848258872e-06
3.2e-09,-9.93673222964474e-06
3.3e-09,-6.6960172807122945e-06
3.4000000000000003e-09,-1.00481195247769e-05
3.5000000000000003e-09,-9.957157701925632e-06
3.6e-09,-3.471986619722572e-06
3.7e-09,-7.0494973960968975e-06
3.8e-09,-1.761879415084089e-06
3.9e-09,2.6424182943164464e-06
4e-09,-3.566986845948403e-06
4.1e-09,2.7753220875279015e-06
4.2e-09,7.271535635010206e-06
4.3000000000000005e-09,7.859241971665924e-06
4.4000000000000005e-09,2.8443296398363663e-06
4.5e-09,-2.7480828506282162e-06
4.6e-09,-6.202574711052693e-06
4.7e-09,-2.6270840391356125e-06
4.8e-09,-8.789453427464188e-06
4.9e-09,-5.868722189016809e-06
5e-09,-1.3851781247451927e-05
5.1e-09,-1.5035476403930488e-05
5.2e-09,-1.417580574070833e-05
5.3e-09,1.799603522682953e-06
5.4e-09,-7.137627112147026e-06
5.5000000000000004e-09,2.4659760727950893e-06
5.6000000000000005e-09,3.4117999718554843e-06
5.7000000000000006e-09,6.040550017091086e-06
5.8e-09,6.746851856119764e-06
5.9e-09,9.559714926182056e-06
6e-09,8.469348619145082e-06
6.1e-09,1.7801324685574773e-05
6.2e-09,1.4668148388225463e-05
6.3e-09,2.185440764693575e-05
6.4e-09,1.7464111611333105e-05
6.5e-09,1.690015736019374e-05
6.6e-09,9.790102289201843e-06
6.7000000000000004e-09,1.2639365964680529e-05
6.8000000000000005e-09,2.1872057501035078e-05
6.9000000000000006e-09,2.1153477927057463e-05
7.000000000000001e-09,1.9667990093653246e-05
7.1e-09,1.2254169986364916e-05
7.2e-09,1.064736835164384e-05
7.3e-09,2.2668843917523632e-07
7.4e-09,-5.687251052985407e-06
7.500000000000001e-09,-4.16202383035625e-06
7.6e-09,4.421153839518297e-06
7.7e-09,2.256926153985989e-05
7.8e-09,1.854604183690711e-05
7.9e-09,2.7656330310093758e-05
8e-09,2.8959655865637748e-05
8.1e-09,2.769204159229352e-05
8.2e-09,3.0217928851328313e-05
8.3e-09,3.0318218855936446e-05
8.4e-09,3.0731456478321574e-05
8.5e-09,2.778135877935907e-05
8.600000000000001e-09,1.8450945983855968e-05
8.7e-09,8.271031854165287e-06
8.800000000000001e-09,1.2419066043937147e-05
8.9e-09,1.0503619024022528e-05
9e-09,6.538908952954696e-06
9.1e-09,6.528927098834566e-06
9.2e-09,1.1611845242116044e-05
9.3e-09,1.2664319835058976e-05
9.4e-09,8.289777860628433e-06
9.5e-09,1.6148613318298473e-05
9.6e-09,2.621454014817595e-05
9.700000000000001e-09,2.915638828912468e-05
9.8e-09,3.517160075363069e-05
