time (s),B_z (T)
0.0,-4.2728289567895596e-05
1.0000000000000001e-07,-3.273593330605116e-05
2.0000000000000002e-07,-3.2466676472523936e-05
3.0000000000000004e-07,-3.2848952492936074e-05
4.0000000000000003e-07,-4.0788917314918113e-05
5.000000000000001e-07,-4.325183501721582e-05
6.000000000000001e-07,-4.799443032937315e-05
7.000000000000001e-07,-3.969825206648681e-05
8.000000000000001e-07,-4.133945871099749e-05
9.000000000000001e-07,-4.315421162214119e-05
1.0000000000000002e-06,-3.4272621563883947e-05
1.1e-06,-3.45341913516755e-05
1.2000000000000002e-06,-2.9875934590998177e-05
1.3e-06,-3.238874012053123e-05
1.4000000000000001e-06,-2.9042088956989247e-05
1.5e-06,-3.0128966846727452e-05
1.6000000000000001e-06,-1.9772268158306778e-05
1.7000000000000002e-06,-1.7762454056255465e-05
1.8000000000000001e-06,-2.856284111872689e-05
1.9000000000000002e-06,-3.20876836183115e-05
2.0000000000000003e-06,-4.1648860701875404e-05
2.1000000000000002e-06,-3.701633417630283e-05
2.2e-06,-3.0498836496832815e-05
2.3e-06,-2.8184161822747205e-05
2.4000000000000003e-06,-3.185445767130928e-05
2.5e-06,-4.044309547396756e-05
2.6e-06,-4.040231828935173e-05
2.7000000000000004e-06,-4.521322964841961e-05
2.8000000000000003e-06,-3.749118008541523e-05
2.9e-06,-4.016791234095656e-05
3e-06,-3.619496671756818e-05
3.1000000000000004e-06,-3.958660490835119e-05
3.2000000000000003e-06,-3.0639034430040446e-05
3.3e-06,-3.827781325521843e-05
3.4000000000000005e-06,-4.067202195202825e-05
3.5000000000000004e-06,-3.573089533063341e-05
3.6000000000000003e-06,-2.2267799118762267e-05
3.7e-06,-3.3239077666754916e-05
3.8000000000000005e-06,-4.2850448068969356e-05
3.9e-06,-3.87468271975331e-05
4.000000000000001e-06,-2.6009591022239637e-05
4.1000000000000006e-06,-1.9181144630162486e-05
4.2000000000000004e-06,-1.338778603729006e-05
4.3e-06,-2.1598035982504274e-05
4.4e-06,-1.9334718152929832e-05
4.5e-06,-1.5145958802951163e-05
4.6e-06,-1.3331590525901268e-05
4.700000000000001e-06,-1.0818905610554397e-05
4.800000000000001e-06,-4.816048951455023e-06
4.9000000000000005e-06,-2.3810110856653353e-05
5e-06,-3.950403093092913e-05
5.1e-06,-4.841389675569537e-05
5.2e-06,-4.72564824271102e-05
5.3e-06,-4.983128373967433e-05
5.400000000000001e-06,-5.976363853957774e-05
5.500000000000001e-06,-4.650070542955995e-05
5.600000000000001e-06,-4.766184758036227e-05
5.7000000000000005e-06,-4.565170667243488e-05
5.8e-06,-3.789354873955051e-05
5.9e-06,-2.0860341195674934e-05
6e-06,-2.1117066052977366e-05
6.100000000000001e-06,-1.9457278042641442e-05
6.200000000000001e-06,-2.9001755926851187e-05
6.300000000000001e-06,-2.9086585900873295e-05
6.4000000000000006e-06,-3.8655385123150264e-05
6.5000000000000004e-06,-4.181670389284846e-05
6.6e-06,-3.544156623623953e-05
6.7e-06,-3.229148828822197e-05
6.800000000000001e-06,-2.4561963581491288e-05
6.900000000000001e-06,-2.235261196495408e-05
7.000000000000001e-06,-1.3015817943706066e-05
7.100000000000001e-06,-2.056785342110077e-05
7.2000000000000005e-06,-1.084975769325027e-05
7.3e-06,-1.5214804673750013e-05
7.4e-06,-1.8015308963769868e-05
7.500000000000001e-06,-2.0283900172192383e-05
7.600000000000001e-06,-5.757327526521694e-06
7.7e-06,-1.1606547891354575e-05
7.8e-06,-7.727819473634354e-06
7.9e-06,-4.378790028856274e-06
8.000000000000001e-06,-3.575749633822152e-06
8.1e-06,-9.722504513419698e-06
8.200000000000001e-06,-1.8588769792522578e-05
8.3e-06,-2.741375702152155e-05
8.400000000000001e-06,-1.8639889487210357e-05
8.5e-06,-2.4641699409871287e-05
8.6e-06,-3.387872006028739e-05
8.700000000000001e-06,-2.6081712437974334e-05
8.8e-06,-2.1028259454406835e-05
8.900000000000001e-06,-2.1113066783372427e-05
9e-06,-2.506915053509774e-05
9.100000000000001e-06,-4.625563104565756e-05
9.2e-06,-5.1954123391612463e-05
9.3e-06,-5.2853297617078765e-05
9.400000000000001e-06,-6.080756390515804e-05
9.5e-06,-6.867162307855692e-05
9.600000000000001e-06,-5.1999785250934e-05
9.7e-06,-6.49166368736897e-05
9.800000000000001e-06,-6.207091187071805e-05
9.9e-06,-6.784294144357587e-05
1e-05,-6.581533171858722e-05
