tau_c,T2_echo,T2_echo_lower,T2_echo_upper,R2_echo,xi
3.0000000000000012e-09,5.853029697162368e-06,4.999999999999998e-05,5.000000000000006e-05,0.948924436019544,0.02640000000000001
3.409390999157174e-09,5.463636000723334e-06,4.999999999999998e-05,5.000000000000006e-05,0.929082199245271,0.03000264079258313
3.874648995044649e-09,4.846177143913023e-06,4.999999999999998e-05,5.000000000000006e-05,0.9260072032716256,0.03409691115639291
4.403397802866204e-09,4.269285797103657e-06,4.999999999999998e-05,5.000000000000006e-05,0.9259654636476573,0.038749900665222596
5.004301611600169e-09,4.538850135661266e-06,4.999999999999998e-05,5.000000000000006e-05,0.8266762548742222,0.04403785418208149
5.687206957219141e-09,3.997734886704057e-06,4.999999999999998e-05,5.000000000000006e-05,0.8269273921992119,0.05004742122352844
6.463304070095662e-09,3.5217100257057156e-06,4.999999999999998e-05,5.000000000000006e-05,0.827361879403237,0.05687707581684183
7.345310240466691e-09,3.1032609254640225e-06,4.999999999999998e-05,5.000000000000006e-05,0.827637413056946,0.06463873011610688
8.34767820662138e-09,2.733967265767498e-06,4.999999999999998e-05,5.000000000000006e-05,0.8284131715042224,0.07345956821826814
9.486832980505142e-09,2.4133631932848147e-06,4.999999999999998e-05,5.000000000000006e-05,0.829266917022939,0.08348413022844525
1.078144099141388e-08,2.1294859552843893e-06,4.999999999999998e-05,5.000000000000006e-05,0.8301583477074558,0.09487668072444215
1.2252715958023556e-08,1.882834703765123e-06,4.999999999999998e-05,5.000000000000006e-05,0.831526296762225,0.1078239004306073
1.3924766500838351e-08,1.6653583471891621e-06,4.999999999999998e-05,5.000000000000006e-05,0.8331921955625988,0.1225379452073775
1.5824991191107866e-08,1.4768649118093108e-06,4.999999999999998e-05,5.000000000000006e-05,0.8351790631051283,0.13925992248174923
1.798452750956823e-08,5.98589290943194e-07,5.3953582528704666e-05,5.395358252870472e-05,0.9903506980297719,0.15826384208420044
2.0438762071738832e-08,5.593408981593452e-07,6.13162862152165e-05,6.13162862152165e-05,0.9912471171628116,0.17986110623130172
2.322791048043384e-08,4.981349546931243e-07,6.968373144130153e-05,6.968373144130159e-05,0.9899530200510407,0.2044056122278178
