tau_c,T2,T2_lower,T2_upper,R2,xi,T2_error
3.000000000000001e-09,4.190786851860416e-06,3.981247509267394e-06,4.400326194453437e-06,0.9969444746800904,0.0264,
3.409390999157174e-09,3.6915967314262935e-06,3.6915967314262927e-06,3.6915967314262944e-06,0.996973631327613,0.0300026407925831,
3.874648995044649e-09,3.2778482917745177e-06,3.277848291774517e-06,3.2778482917745186e-06,0.9985845348150902,0.0340969111563929,
4.403397802866204e-09,2.864239525434768e-06,2.7210275491630294e-06,3.007451501706507e-06,0.9983161144469538,0.0387499006652225,
5.004301611600169e-09,2.5350856667994555e-06,2.4083313834594827e-06,2.6618399501394283e-06,0.9978425807084266,0.0440378541820814,
5.687206957219141e-09,2.238700601661649e-06,2.126765571578566e-06,2.350635631744731e-06,0.9985280643331632,0.0500474212235284,
6.463304070095662e-09,1.9551404736416117e-06,1.955140473641611e-06,1.9551404736416125e-06,0.998104649837432,0.0568770758168418,
7.345310240466691e-09,1.711688804797367e-06,1.7116888047973662e-06,1.711688804797368e-06,0.9953613681210358,0.0646387301161068,
8.34767820662138e-09,1.5219028951956329e-06,1.5219028951956316e-06,1.521902895195634e-06,0.9988095175101678,0.0734595682182681,
9.486832980505142e-09,1.3332624000184742e-06,1.3332624000184734e-06,1.333262400018475e-06,0.9992502005426478,0.0834841302284452,
1.078144099141388e-08,1.16840813411437e-06,1.1684081341143695e-06,1.1684081341143704e-06,0.998514512796169,0.0948766807244421,
1.2252715958023556e-08,1.033032203562604e-06,1.0330322035626037e-06,1.0330322035626045e-06,0.9975781002160554,0.1078239004306073,
1.3924766500838351e-08,9.215972205196768e-07,9.215972205196764e-07,9.215972205196768e-07,0.9970001753267872,0.1225379452073775,
1.5824991191107866e-08,8.194747187966478e-07,8.194747187966475e-07,8.19474718796648e-07,0.9960992121456912,0.1392599224817492,
1.798452750956823e-08,7.337465058973341e-07,7.337465058973337e-07,7.337465058973345e-07,0.9946666397846868,0.1582638420842004,
2.0438762071738832e-08,6.574891089217021e-07,6.574891089217019e-07,6.574891089217023e-07,0.9938455336408596,0.1798611062313017,
2.322791048043384e-08,5.94196446814037e-07,5.941964468140368e-07,5.941964468140372e-07,0.9934137185364392,0.2044056122278178,
2.639767630707323e-08,5.323134203393943e-07,5.056977493224245e-07,5.58929091356364e-07,0.9920051376708702,0.2322995515022444,
3.000000000000001e-08,4.811877107503447e-07,4.811877107503446e-07,4.811877107503448e-07,0.9900884660364176,0.264,
3.4977432035394954e-08,4.295748881490669e-07,4.295748881490667e-07,4.295748881490671e-07,0.9891740278678112,0.3078014019114755,
4.078069172635582e-08,3.820149608111721e-07,3.6291421277061347e-07,4.011157088517307e-07,0.9819351494851604,0.3588700871919312,
4.754679577383345e-08,3.4678359209711057e-07,3.4678359209711047e-07,3.467835920971107e-07,0.9779663148257827,0.4184118028097343,
5.543549392266874e-08,3.1787852727693116e-07,3.1787852727693106e-07,3.1787852727693127e-07,0.9678577605963345,0.4878323465194849,
6.46330407009565e-08,2.9476233813300285e-07,2.9476233813300274e-07,2.9476233813300295e-07,0.9542374917170456,0.5687707581684172,
7.535659294528749e-08,2.790029286654772e-07,2.790029286654771e-07,2.790029286654773e-07,0.936221213820518,0.6631380179185299,
8.785933693875717e-08,2.6375934093036105e-07,2.6375934093036094e-07,2.6375934093036115e-07,0.9210811366603059,0.773162165061063,
1.0243646621500809e-07,2.0432300464024747e-07,2.0432300464024733e-07,2.0432300464024757e-07,0.9850644278020022,0.901440902692071,
1.1943215116604913e-07,1.8989712037982785e-07,1.898971203798276e-07,1.8989712037982808e-07,0.9888595875287648,1.0510029302612325,
1.3924766500838354e-07,1.7057838965845378e-07,1.620494701755311e-07,1.791073091413765e-07,0.994954489507343,1.2253794520737749,
1.623508579639392e-07,1.5536873883602077e-07,1.5536873883602061e-07,1.5536873883602093e-07,0.9993227786074758,1.428687550082665,
1.8928720334405797e-07,1.4283337474406897e-07,1.428333747440689e-07,1.428333747440691e-07,0.999473243020802,1.66572738942771,
2.206926763378927e-07,1.2961824879324105e-07,1.29618248793241e-07,1.296182487932411e-07,0.999474050827392,1.942095551773456,
2.573087695772685e-07,1.1570010901575045e-07,1.1570010901575041e-07,1.157001090157505e-07,0.9992163254807084,2.2643171722799624,
3.000000000000001e-07,1.233507212760506e-07,,,0.9992310992814308,2.640000000000001,
3.497743203539495e-07,1.3268649853273328e-07,1.3268649853273325e-07,1.3268649853273333e-07,0.9995664809921126,3.0780140191147556,
4.078069172635574e-07,1.315861671985848e-07,,,0.9997141449091096,3.588700871919305,
4.7546795773833444e-07,1.3065765874141078e-07,1.3065765874141073e-07,1.3065765874141086e-07,0.9997991963334472,4.184118028097343,
5.543549392266875e-07,1.2986276469147261e-07,,,0.9998660063328008,4.87832346519485,
6.463304070095649e-07,1.2916526171992461e-07,1.2916526171992456e-07,1.291652617199247e-07,0.9999144970551302,5.687707581684172,
7.535659294528749e-07,1.286003364314699e-07,,,0.9999591818078388,6.631380179185299,
8.785933693875715e-07,1.2783073568599189e-07,1.2783073568599186e-07,1.2783073568599194e-07,0.9999705079503416,7.731621650610629,
1.0243646621500807e-06,1.2790245299271142e-07,,,0.9998141962350274,9.01440902692071,
1.1943215116604912e-06,1.30094211092936e-07,,,0.9993514033686202,10.510029302612322,
1.392476650083835e-06,1.3074973256717528e-07,,,0.9987714583963349,12.253794520737747,
1.6235085796393918e-06,1.3111110614751984e-07,1.311111061475198e-07,1.311111061475199e-07,0.9985541518626272,14.286875500826648,
1.8928720334405795e-06,1.3113558863878053e-07,1.3113558863878048e-07,1.3113558863878058e-07,0.9985605411575084,16.6572738942771,
2.206926763378927e-06,1.3026315457668354e-07,1.302631545766835e-07,1.302631545766836e-07,0.9985595019695295,19.42095551773456,
2.5730876957726845e-06,1.2969890417795426e-07,1.2969890417795416e-07,1.2969890417795437e-07,0.9988443837776142,22.643171722799625,
3.0000000000000013e-06,1.2957589434741242e-07,1.2957589434741232e-07,1.2957589434741253e-07,0.9988884083089609,26.400000000000013,
3.821564574585352e-06,1.294408944509244e-07,1.294408944509243e-07,1.2944089445092451e-07,0.9987586827423408,33.6297682563511,
4.868118599241915e-06,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.949345525886478,42.83944367332886,
6.201276527914321e-06,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.9532537960930478,54.57123344564602,
7.899526232095004e-06,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.9568823297072115,69.51583084243603,
1.0062849868194006e-05,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.9608748702854338,88.55307884010725,
1.2818610191887024e-05,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.961002943659246,112.80376968860584,
1.6329048868244726e-05,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.9641659689161786,143.6956300405536,
2.080083823051906e-05,1.6070608665514846e-07,1.6070608665514836e-07,1.6070608665514857e-07,0.9785112568279772,183.04737642856773,
2.649724883447742e-05,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9895262473886036,233.1757897434013,
3.375364915660396e-05,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9940813829443268,297.03211257811483,
4.299724995995346e-05,2.333202289217412e-07,2.3332022892174105e-07,2.333202289217413e-07,0.98995962059936,378.3757996475904,
5.477225575051662e-05,3.1343712448154546e-07,3.134371244815454e-07,3.1343712448154557e-07,0.9884505179646592,481.99585060454626,
6.977190408210102e-05,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9816457885329198,613.992755922489,
8.887927898050809e-05,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9885707036318426,782.1376550284712,
0.0001132193013221,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9919110690393248,996.3298516353564,
0.0001442249570307,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.98884701797967,1269.1796218705188,
0.0001837216621865,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9914327243645962,1616.750627242003,
0.000234034731932,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9841550388133689,2059.5056410022303,
0.000298126280258,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9901263692613472,2623.5112662709394,
0.0003797696104623,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9920999306861906,3341.972572068862,
0.0004837713632823,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9919962695402628,4257.187996884754,
0.0006162545013729,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9923860813395508,5423.039612081582,
0.0007850187904584,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.9901693432233856,6908.165356034691,
0.001,1.6070608665514846e-07,1.6070608665514838e-07,1.6070608665514857e-07,0.991493335028588,8800.0,
